Feature,Category
Dependency Locality Theory: Maximal IC at Finite Verb (no modifier weight),Syntactic
Number of Morphological Features: Indefinite Pronouns,Count
Number of Connectives: Mendes Additive Connectives,Count
Number of Syntactic Constituents: It-Clefts,Count
POS Density Feature: Foreign Word,Lexical
Referential Cohesion: Mean Local Lexical Overlap (lemma-based),Discourse
Number of Morphological Features: Superlative Degree,Count
Number of Morphological Features: Pluperfect Verbs,Count
clitics,Count
Morphological Complexity Inflection Feature: Superlative Adjective per Adjective Token,Morphological
proclitics,Count
Syntactic Complexity Feature: Pseudoclefts per VP,Syntactic
Number of Connectives: Mendes Concessive Connectives,Count
Number of Morphological Features: Simple Future Verbs,Count
Dependency Locality Theory: Maximal IC at Finite Verb (no modifier weight + less coordination weight),Syntactic
Number of Syntactic Constituents: Pseudoclefts,Count
Morphological Complexity Inflection Feature: Conditional tense per verb token,Morphological
Number of Connectives: Mendes Multi-Word Connectives,Count
Dependency Locality Theory: Maximal IC at Finite Verb (no modifier weight + less coordination weight + added verb weight),Syntactic
Number of Syntactic Constituents: e-que Clefts,Count
Number of Syntactic Constituents: Disjunctive Coordinate Phrases,Count
Syntactic Complexity Feature: Complex T-unit Ratio,Syntactic
Syntactic Complexity Feature: e-que Cleft per VP,Syntactic
Dependency Locality Theory: Total IC at Finite Verb (higher verb weight),Syntactic
